2022-12-09 09:32:00,921: Key.enter
2022-12-09 09:32:01,143: Key.enter
2022-12-09 09:32:06,924: Key.enter
2022-12-09 09:32:07,190: Key.enter
2022-12-09 09:32:07,442: Key.enter
2022-12-09 09:32:24,795: Key.shift
2022-12-09 09:32:24,799: L
2022-12-09 09:32:24,802: o
2022-12-09 09:32:24,802: o
2022-12-09 09:32:24,802: k
2022-12-09 09:32:24,802: Key.shift
2022-12-09 09:32:24,803: A
2022-12-09 09:32:24,803: t
2022-12-09 09:32:24,805: Key.shift
2022-12-09 09:32:24,837: T
2022-12-09 09:32:25,081: h
2022-12-09 09:32:25,292: i
2022-12-09 09:32:25,511: s
2022-12-09 09:32:25,979: Key.shift
2022-12-09 09:32:26,253: S
2022-12-09 09:32:26,576: e
2022-12-09 09:32:26,716: n
2022-12-09 09:32:26,850: t
2022-12-09 09:32:28,534: Key.backspace
2022-12-09 09:32:28,801: p
2022-12-09 09:32:28,966: a
2022-12-09 09:32:29,075: i
2022-12-09 09:32:42,261: Key.ctrl
2022-12-09 09:32:42,327: c
